ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,1.02e-05,4.862745098039216,4.9600000000000006e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\ctypes\\__init__.py', 446, '__getattr__'): (2, 2, 1.02e-05, 4.9600000000000006e-05)}",2
1,1.29e-05,29.984496124031008,0.0003868,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\menus\\file_menu.py', 101, '__init__'): (1, 1, 1.29e-05, 0.0003868)}",1
1,0.00019150000000000002,37312.594255874676,7.145361800000001,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 214, 'GUI_manager'): (1, 1, 0.00019150000000000002, 7.145361800000001)}",1
1,7.3e-06,5.287671232876712,3.86e-05,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 33, '__init__'): (1, 1, 7.3e-06, 3.86e-05)}",1
5,3.8e-06,1.9473684210526316,7.4e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 505, '_parse'): (5, 5, 3.8e-06, 7.4e-06)}",5
1,3.0000000000000004e-07,1.6666666666666667,5.000000000000001e-07,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 962, 'parse'): (1, 1, 3.0000000000000004e-07, 5.000000000000001e-07)}",1
65,1.06e-05,1.0,1.06e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 224, '__init__'): (1, 1, 5.000000000000001e-07, 5.000000000000001e-07), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 254, 'get'): (53, 53, 8.400000000000001e-06, 8.400000000000001e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\re\\_parser.py', 249, 'match'): (11, 11, 1.7e-06, 1.7e-06)}",65
14,2.6300000000000002e-05,1.4296577946768059,3.76e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\cbook.py', 110, '_weak_or_strong_ref'): (14, 14, 2.6300000000000002e-05, 3.76e-05)}",14
1,2.7e-06,31.185185185185187,8.42e-05,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 149, '_menu_bar_main'): (1, 1, 2.7e-06, 8.42e-05)}",1
1,3.3e-06,42.21212121212121,0.0001393,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 149, '_menu_bar_main'): (1, 1, 3.3e-06, 0.0001393)}",1
1,5.4e-06,5.5925925925925934,3.0200000000000002e-05,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 149, '_menu_bar_main'): (1, 1, 5.4e-06, 3.0200000000000002e-05)}",1
1,2.2e-06,19.681818181818183,4.33e-05,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 149, '_menu_bar_main'): (1, 1, 2.2e-06, 4.33e-05)}",1
1,2.7e-06,10.88888888888889,2.9400000000000003e-05,"{('c:\\Users\\tiger\\Documents\\GitHub\\grtk\\main.py', 149, '_menu_bar_main'): (1, 1, 2.7e-06, 2.9400000000000003e-05)}",1
7,5e-06,3.14,1.5700000000000002e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\colors.py', 310, '_to_rgba_no_colorcycle'): (7, 7, 5e-06, 1.5700000000000002e-05)}",7
31,3.4e-06,1.0,3.4e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1679, 'convert_class'): (31, 31, 3.4e-06, 3.4e-06)}",31
18,2.3e-06,1.0,2.3e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1679, 'convert_class'): (18, 18, 2.3e-06, 2.3e-06)}",18
7,1.4000000000000001e-06,1.6428571428571428,2.3e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 383, '__setitem__'): (7, 7, 1.4000000000000001e-06, 2.3e-06)}",7
38,1.56e-05,1.4358974358974361,2.2400000000000002e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 383, '__setitem__'): (7, 7, 3.4e-06, 5.2e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1679, 'convert_class'): (31, 31, 1.22e-05, 1.72e-05)}",38
1,9.3e-06,3.3655913978494625,3.13e-05,"{('~', 0, '<built-in method builtins.__build_class__>'): (1, 1, 9.3e-06, 3.13e-05)}",1
2,3.8e-06,2.9210526315789473,1.11e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 500, '__prepare__'): (1, 1, 2.9e-06, 7.5e-06), ('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 515, '__new__'): (1, 1, 9.000000000000001e-07, 3.6000000000000003e-06)}",2
31,1.3300000000000001e-05,1.2105263157894737,1.6100000000000002e-05,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\enum.py', 1679, 'convert_class'): (31, 31, 1.3300000000000001e-05, 1.6100000000000002e-05)}",31
2,3.6000000000000003e-06,2.1944444444444446,7.9e-06,"{('C:\\Users\\tiger\\AppData\\Local\\Programs\\Python\\Python312\\Lib\\site-packages\\matplotlib\\cbook.py', 849, '__init__'): (2, 2, 3.6000000000000003e-06, 7.9e-06)}",2
2,1.4000000000000001e-06,1.0,1.4000000000000001e-06,"{('~', 0, '<built-in method builtins.__build_class__>'): (2, 2, 1.4000000000000001e-06, 1.4000000000000001e-06)}",2
